Sprachen
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |        114 |      6,371 |      2,762 |      1,958 |     11,091 |
| CSS        |          5 |        881 |         31 |        378 |      1,290 |
| XML        |         20 |        861 |          0 |         61 |        922 |
| Properties |          8 |        112 |          0 |          5 |        117 |
+------------+------------+------------+------------+------------+------------+

Dateien
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                       | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| KodeX/src/main/java/kodex/presenter/textformatter/PortNumFormatter.java                                        | Java       |         26 |         16 |         10 |         52 |
| KodeX/src/main/java/kodex/standardplugins/bwimageprocedure/BWImageProcedureInformation.java                    | Java       |         17 |          9 |          7 |         33 |
| KodeX/src/main/java/kodex/standardplugins/bwimageprocedure/BWImageProcedurePlugin.java                         | Java       |         64 |         11 |         15 |         90 |
| KodeX/src/main/java/kodex/standardplugins/bwimageprocedure/presenter/BWImageImportPresenter.java               | Java       |        105 |         15 |         25 |        145 |
| KodeX/src/main/java/kodex/standardplugins/colorimageprocedure/ColorImageProcedureInformation.java              | Java       |         19 |         11 |          4 |         34 |
| KodeX/src/main/java/kodex/standardplugins/colorimageprocedure/ColorImageProcedurePlugin.java                   | Java       |         66 |          8 |         16 |         90 |
| KodeX/src/main/java/kodex/standardplugins/colorimageprocedure/presenter/ColorImageImportPresenter.java         | Java       |        142 |         36 |         40 |        218 |
| KodeX/src/main/java/kodex/standardplugins/greyscaleimageprocedure/GreyScaleImageProcedurePlugin.java           | Java       |         64 |         11 |         16 |         91 |
| KodeX/src/main/java/kodex/standardplugins/greyscaleimageprocedure/GreyScaleProcedureInformation.java           | Java       |         17 |          7 |          7 |         31 |
| KodeX/src/main/java/kodex/standardplugins/greyscaleimageprocedure/presenter/GreyScaleImageImportPresenter.java | Java       |        105 |         14 |         24 |        143 |
| KodeX/src/main/java/kodex/standardplugins/qrcode/TextQRCodeProcedureInformation.java                           | Java       |         19 |          7 |          6 |         32 |
| KodeX/src/main/java/kodex/standardplugins/qrcode/TextQRCodeProcedurePlugin.java                                | Java       |         42 |          6 |         15 |         63 |
| KodeX/src/main/java/kodex/standardplugins/qrcode/model/BinaryStringToQRCode.java                               | Java       |         13 |          4 |          9 |         26 |
| KodeX/src/main/java/kodex/standardplugins/qrcode/model/QRCode.java                                             | Java       |          4 |          1 |          4 |          9 |
| KodeX/src/main/java/kodex/standardplugins/qrcode/presenter/QRCodeImportPresenter.java                          | Java       |         27 |          7 |         11 |         45 |
| KodeX/src/main/java/kodex/standardplugins/rle/TextRLEProcedureInformation.java                                 | Java       |         19 |          7 |          5 |         31 |
| KodeX/src/main/java/kodex/standardplugins/rle/TextRLEProcedurePlugin.java                                      | Java       |         56 |          3 |         16 |         75 |
| KodeX/src/main/java/kodex/standardplugins/rle/model/steps/RLEStep.java                                         | Java       |         43 |          0 |         19 |         62 |
| KodeX/src/main/java/kodex/standardplugins/rle/presenter/RLEImportPresenter.java                                | Java       |         94 |         14 |         29 |        137 |
| KodeX/src/main/java/module-info.java                                                                           | Java       |         28 |          0 |          7 |         35 |
| KodeX/src/main/resources/kodex/model/help/Help_de.properties                                                   | Properties |          8 |          0 |          1 |          9 |
| KodeX/src/main/resources/kodex/model/help/Help_en.properties                                                   | Properties |          8 |          0 |          1 |          9 |
| KodeX/src/main/resources/kodex/model/languages/Languages.properties                                            | Properties |          2 |          0 |          0 |          2 |
| KodeX/src/main/resources/kodex/model/languages/Languages_de.properties                                         | Properties |         43 |          0 |          1 |         44 |
| KodeX/src/main/resources/kodex/model/languages/Languages_en.properties                                         | Properties |         43 |          0 |          1 |         44 |
| KodeX/src/main/resources/kodex/model/settings/Default_Settings.properties                                      | Properties |          4 |          0 |          0 |          4 |
| KodeX/src/main/resources/kodex/model/settings/User_Settings.properties                                         | Properties |          4 |          0 |          0 |          4 |
| KodeX/src/main/resources/kodex/model/sorting_relevancy.properties                                              | Properties |          0 |          0 |          1 |          1 |
| KodeX/src/main/resources/kodex/presenter/chainlayout.fxml                                                      | XML        |          8 |          0 |          4 |         12 |
| KodeX/src/main/resources/kodex/presenter/chainlinktemplate.fxml                                                | XML        |         92 |          0 |          3 |         95 |
| KodeX/src/main/resources/kodex/presenter/editlayout.fxml                                                       | XML        |         23 |          0 |          3 |         26 |
| KodeX/src/main/resources/kodex/presenter/headertemplate.fxml                                                   | XML        |         12 |          0 |          3 |         15 |
| KodeX/src/main/resources/kodex/presenter/helppage.fxml                                                         | XML        |         49 |          0 |          3 |         52 |
| KodeX/src/main/resources/kodex/presenter/importexample.fxml                                                    | XML        |         25 |          0 |          3 |         28 |
| KodeX/src/main/resources/kodex/presenter/indexpage.fxml                                                        | XML        |         76 |          0 |          3 |         79 |
| KodeX/src/main/resources/kodex/presenter/inputexample.fxml                                                     | XML        |         30 |          0 |          3 |         33 |
| KodeX/src/main/resources/kodex/presenter/minisidemenu.fxml                                                     | XML        |         81 |          0 |          3 |         84 |
| KodeX/src/main/resources/kodex/presenter/networkpage.fxml                                                      | XML        |        135 |          0 |          3 |        138 |
| KodeX/src/main/resources/kodex/presenter/overviewbuttontemplate.fxml                                           | XML        |          3 |          0 |          3 |          6 |
| KodeX/src/main/resources/kodex/presenter/pluginpage.fxml                                                       | XML        |         55 |          0 |          3 |         58 |
| KodeX/src/main/resources/kodex/presenter/procedurebuttontemplate.fxml                                          | XML        |         17 |          0 |          3 |         20 |
| KodeX/src/main/resources/kodex/presenter/procedurelayout.fxml                                                  | XML        |         34 |          0 |          3 |         37 |
| KodeX/src/main/resources/kodex/presenter/settingspage.fxml                                                     | XML        |         84 |          0 |          3 |         87 |
| KodeX/src/main/resources/kodex/presenter/sidemenu.fxml                                                         | XML        |         37 |          0 |          3 |         40 |
| KodeX/src/main/resources/kodex/presenter/style.css                                                             | CSS        |        429 |         15 |        174 |        618 |
| KodeX/src/main/resources/kodex/standardplugins/bwimageprocedure/presenter/bwimport.fxml                        | XML        |         25 |          0 |          3 |         28 |
| KodeX/src/main/resources/kodex/standardplugins/bwimageprocedure/presenter/style.css                            | CSS        |        113 |          4 |         51 |        168 |
| KodeX/src/main/resources/kodex/standardplugins/colorimageprocedure/presenter/importexample.fxml                | XML        |         25 |          0 |          3 |         28 |
| KodeX/src/main/resources/kodex/standardplugins/colorimageprocedure/presenter/style.css                         | CSS        |        113 |          4 |         51 |        168 |
| KodeX/src/main/resources/kodex/standardplugins/greyscaleimageprocedure/presenter/greyscaleimport.fxml          | XML        |         25 |          0 |          3 |         28 |
| KodeX/src/main/resources/kodex/standardplugins/greyscaleimageprocedure/presenter/style.css                     | CSS        |        113 |          4 |         51 |        168 |
| KodeX/src/main/resources/kodex/standardplugins/rle/presenter/importexample.fxml                                | XML        |         25 |          0 |          3 |         28 |
| KodeX/src/main/resources/kodex/standardplugins/rle/presenter/style.css                                         | CSS        |        113 |          4 |         51 |        168 |
| KodeX/src/test/java/kodex/MainAppTest.java                                                                     | Java       |          7 |          1 |          4 |         12 |
| Total                                                                                                          |            |      8,225 |      2,793 |      2,402 |     13,420 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
